,GSM1276026,GSM1276027,GSM1276028,GSM1276029,GSM1276030,GSM1276031,GSM1276032,GSM1276033,GSM1276034,GSM1276035,GSM1276036,GSM1276037,GSM1276038,GSM1276039,GSM1276040,GSM1276041,GSM1276042,GSM1276043,GSM1276044,GSM1276045,GSM1276046,GSM1276047
LOC100132612,3.68589,4.54985,3.5669,4.08199,3.69385,3.31817,3.62846,3.56674,3.89712,2.86107,3.68104,2.81484,3.21701,3.3498,2.52913,3.24492,3.42753,2.83388,3.41202,2.68965,3.37462,3.15982
BCL11B,6.49732,6.64748,6.61615,6.4121,6.70129,6.48313,6.48603,6.3096,6.43375,6.66559,6.76805,6.85258,6.71599,6.92318,6.91667,6.72332,6.16934,6.94174,6.97892,6.84331,6.79577,6.4993
SETD3,7.1627,7.18695,7.18048,7.25528,7.16489,7.36858,7.22114,7.44585,7.1885,7.26731,7.33471,7.39263,7.58103,7.50406,7.45299,7.43317,7.52844,7.49029,7.6401,7.40368,7.33386,7.16239
Q9H669_HUMAN,5.76008,5.80671,5.72642,5.72343,5.83546,5.50153,5.7975,5.4252,5.8089,5.49372,6.02078,5.69741,5.52513,5.50191,5.62511,5.59908,5.68781,5.16295,5.0324,5.58494,5.38992,5.8153
C14orf65,5.03167,5.15247,4.83057,4.9119,5.0735,5.02843,5.02803,4.99961,5.11525,5.06169,4.99699,4.92789,4.97203,4.92227,4.94679,4.72861,5.08891,4.92636,4.98499,4.8048,4.87116,4.95448
DEGS2,6.21115,6.51638,6.31111,6.27341,6.50182,6.31595,6.36271,6.08638,6.4247,6.40641,6.42231,6.22669,6.33945,6.31639,6.40673,6.32834,6.43247,6.38182,6.15868,6.35691,6.50209,6.48022
SLC25A29,5.24669,5.28369,5.25524,5.18651,5.25602,5.02384,4.98536,5.36998,4.88459,5.30535,5.08249,5.12404,5.15168,5.40723,5.22793,4.86932,5.19895,5.24849,5.07456,5.19918,5.04589,5.00658
WARS,7.64688,7.33953,7.67592,7.62126,7.16033,7.99385,8.08601,7.82749,7.79604,7.75996,7.27539,7.58505,7.45752,7.34713,7.56943,7.38682,7.46188,7.5484,8.25527,7.39337,7.30157,7.33133
BEGAIN,4.26375,4.14354,4.11488,4.2371,4.19965,4.10998,4.10088,4.31625,4.38832,4.07365,4.07138,4.21688,4.17972,4.21743,4.01918,4.27347,3.75669,4.08037,3.97866,4.13551,4.1093,4.09569
YYY4_HUMAN,3.55336,3.43818,3.8319,3.41646,3.48278,3.45184,3.50243,3.60509,3.52094,3.40363,3.87625,3.50012,3.64172,3.50957,3.66997,3.99833,3.65679,3.75116,3.31026,3.52894,3.3806,3.85759
RTL1,4.99116,4.94094,4.61891,4.56654,4.50838,4.40663,4.65266,4.62258,4.86843,4.77982,4.86165,4.68568,4.65365,4.5836,4.8792,4.95752,4.54574,4.74465,4.47304,4.68275,4.47424,4.63884
